Дата;Ветвь;Задача;Суммарное время;Собственное время
26 марта 2018 г.;/Pers.Time/;Domesticity;0:06:35;0:06:35
26 марта 2018 г.;/;TravelCity;0:55:25;0:00:00
26 марта 2018 г.;/TravelCity/;Foot;0:39:05;0:39:05
26 марта 2018 г.;/TravelCity/;Metro;0:16:17;0:16:17
26 марта 2018 г.;/TravelCity/;Bus/Tram;0:00:02;0:00:02
26 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
27 марта 2018 г.;/;SL:;8:47:10;8:47:10
27 марта 2018 г.;/;Jobtime1;8:45:00;8:45:00
27 марта 2018 г.;/;Pers.Time;6:25:13;0:00:00
27 марта 2018 г.;/Pers.Time/;Leisure;4:47:39;0:00:00
27 марта 2018 г.;/Pers.Time/Leisure/;CG;4:47:39;4:47:39
27 марта 2018 г.;/Pers.Time/;Family;0:51:33;0:00:00
27 марта 2018 г.;/Pers.Time/Family/;Children;0:51:33;0:00:00
27 марта 2018 г.;/Pers.Time/Family/Children/;Food;0:51:33;0:51:33
27 марта 2018 г.;/Pers.Time/;Domesticity;0:46:00;0:46:00
27 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
28 марта 2018 г.;/;SL:;8:17:55;8:17:55
28 марта 2018 г.;/;Jobtime1;6:30:48;6:30:48
28 марта 2018 г.;/;Pers.Time;6:08:21;0:00:00
28 марта 2018 г.;/Pers.Time/;Leisure;4:37:10;0:00:00
28 марта 2018 г.;/Pers.Time/Leisure/;CG;4:00:01;4:00:01
28 марта 2018 г.;/Pers.Time/Leisure/;Inet;0:37:08;0:37:08
28 марта 2018 г.;/Pers.Time/;Domesticity;1:13:04;1:13:04
28 марта 2018 г.;/Pers.Time/;WL;0:18:06;0:18:06
28 марта 2018 г.;/;TravelCity;3:01:54;0:00:00
28 марта 2018 г.;/TravelCity/;Metro;0:58:18;0:58:18
28 марта 2018 г.;/TravelCity/;Organizations;0:56:05;0:56:05
28 марта 2018 г.;/TravelCity/;Foot;0:50:43;0:50:43
28 марта 2018 г.;/TravelCity/;Bus/Tram;0:16:47;0:16:47
28 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
29 марта 2018 г.;/;SL:;8:39:09;8:39:09
29 марта 2018 г.;/;Jobtime1;7:59:36;7:59:36
29 марта 2018 г.;/;TravelCity;5:00:12;0:00:00
29 марта 2018 г.;/TravelCity/;Organizations;3:04:31;3:04:31
29 марта 2018 г.;/TravelCity/;Foot;1:03:20;1:03:20
29 марта 2018 г.;/TravelCity/;Metro;0:29:39;0:29:39
29 марта 2018 г.;/TravelCity/;Shopping;0:22:38;0:00:03
29 марта 2018 г.;/TravelCity/Shopping/;Family;0:22:34;0:22:34
29 марта 2018 г.;/TravelCity/;Bus/Tram;0:00:02;0:00:02
29 марта 2018 г.;/;Pers.Time;2:20:44;0:00:00
29 марта 2018 г.;/Pers.Time/;Domesticity;0:58:45;0:58:45
29 марта 2018 г.;/Pers.Time/;WL;0:43:53;0:00:07
29 марта 2018 г.;/Pers.Time/WL/;Family;0:43:46;0:43:46
29 марта 2018 г.;/Pers.Time/;Leisure;0:38:04;0:00:00
29 марта 2018 г.;/Pers.Time/Leisure/;CG;0:24:41;0:24:41
29 марта 2018 г.;/Pers.Time/Leisure/;Inet;0:13:23;0:13:23
29 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
30 марта 2018 г.;/;Jobtime1;8:08:35;8:08:35
30 марта 2018 г.;/;SL:;8:01:05;8:01:05
30 марта 2018 г.;/;Pers.Time;6:51:59;0:00:00
30 марта 2018 г.;/Pers.Time/;Domesticity;2:42:55;2:42:55
30 марта 2018 г.;/Pers.Time/;WL;2:20:38;0:00:06
30 марта 2018 г.;/Pers.Time/WL/;Family;2:20:31;2:20:31
30 марта 2018 г.;/Pers.Time/;Leisure;1:48:25;0:00:00
30 марта 2018 г.;/Pers.Time/Leisure/;CG;1:17:12;1:17:12
30 марта 2018 г.;/Pers.Time/Leisure/;Inet;0:31:12;0:31:12
30 марта 2018 г.;/;TravelCity;0:57:56;0:00:00
30 марта 2018 г.;/TravelCity/;Metro;0:44:23;0:44:23
30 марта 2018 г.;/TravelCity/;Foot;0:13:21;0:13:21
30 марта 2018 г.;/TravelCity/;Bus/Tram;0:00:11;0:00:11
30 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
31 марта 2018 г.;/;Pers.Time;13:10:15;0:00:00
31 марта 2018 г.;/Pers.Time/;Domesticity;5:22:01;5:22:01
31 марта 2018 г.;/Pers.Time/;Leisure;3:41:47;0:00:00
31 марта 2018 г.;/Pers.Time/Leisure/;CG;3:41:38;3:41:38
31 марта 2018 г.;/Pers.Time/Leisure/;Inet;0:00:08;0:00:08
31 марта 2018 г.;/Pers.Time/;WL;2:45:15;0:00:00
31 марта 2018 г.;/Pers.Time/WL/;Family;2:45:15;0:00:30
31 марта 2018 г.;/Pers.Time/WL/Family/;Children;2:44:45;2:44:45
31 марта 2018 г.;/Pers.Time/;SelfImprovement;1:21:06;0:00:00
31 марта 2018 г.;/Pers.Time/SelfImprovement/;ProfCourses;1:21:06;1:21:06
31 марта 2018 г.;/Pers.Time/;Family;0:00:04;0:00:00
31 марта 2018 г.;/Pers.Time/Family/;Children;0:00:04;0:00:00
31 марта 2018 г.;/Pers.Time/Family/Children/;Movie;0:00:04;0:00:04
31 марта 2018 г.;/;SL:;8:32:01;8:32:01
31 марта 2018 г.;/;TravelCity;2:17:10;0:00:00
31 марта 2018 г.;/TravelCity/;Foot;0:54:30;0:54:30
31 марта 2018 г.;/TravelCity/;Metro;0:45:17;0:45:17
31 марта 2018 г.;/TravelCity/;Bus/Tram;0:37:22;0:37:22
31 марта 2018 г.;/;Jobtime1;0:00:02;0:00:02
31 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
